USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.1  0.1  23356 14356 ?        Ss   18:03   0:06 /sbin/init splash
root          92  0.0  0.0      0     0 ?        S    18:03   0:00 [irq/41-pciehp]
root          93  0.0  0.0      0     0 ?        S    18:03   0:00 [irq/42-pciehp]
root          94  0.0  0.0      0     0 ?        S    18:03   0:00 [irq/43-pciehp]
root          95  0.0  0.0      0     0 ?        S    18:03   0:00 [irq/44-pciehp]
root          96  0.0  0.0      0     0 ?        S    18:03   0:00 [irq/45-pciehp]
root          97  0.0  0.0      0     0 ?        S    18:03   0:00 [irq/46-pciehp]
root          98  0.0  0.0      0     0 ?        S    18:03   0:00 [irq/47-pciehp]
root          99  0.0  0.0      0     0 ?        S    18:03   0:00 [irq/48-pciehp]
root         100  0.0  0.0      0     0 ?        S    18:03   0:00 [irq/49-pciehp]
root         101  0.0  0.0      0     0 ?        S    18:03   0:00 [irq/50-pciehp]
root         102  0.0  0.0      0     0 ?        S    18:03   0:00 [irq/51-pciehp]
root         103  0.0  0.0      0     0 ?        S    18:03   0:00 [irq/52-pciehp]
root         104  0.0  0.0      0     0 ?        S    18:03   0:00 [irq/53-pciehp]
root         105  0.0  0.0      0     0 ?        S    18:03   0:00 [irq/54-pciehp]
root         106  0.0  0.0      0     0 ?        S    18:03   0:00 [irq/55-pciehp]
root         107  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-acpi_thermal_pm]
root         109  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_0]
root         110  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_0]
root         111  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_1]
root         112  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_1]
root         116  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-mld]
root         117  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/3:1H]
root         118  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-ipv6_addrconf]
root         119  0.0  0.0      0     0 ?        I    18:03   0:00 [kworker/u512:1-ipv6_addrconf]
root         128  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-kstrp]
root         130  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/u517:0]
root         147  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-charger_manager]
root         148  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/0:1H-kblockd]
root         200  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/2:1H-kblockd]
root         204  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-mpt_poll_0]
root         205  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-mpt/0]
root         217  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_2]
root         218  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_2]
root         219  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_3]
root         220  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_3]
root         221  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_4]
root         222  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_4]
root         223  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_5]
root         224  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_5]
root         225  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_6]
root         226  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_6]
root         227  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_7]
root         228  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_7]
root         229  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_8]
root         230  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_8]
root         231  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_9]
root         232  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_9]
root         233  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_10]
root         234  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_10]
root         235  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_11]
root         236  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_11]
